N8	nyheter	okonomi	Mulig skjebnedag for Norsk Kylling	Saken oppdateres. Klokken 10 onsdag 31. august setter Norsk Kylling-styret, med styreleder Ole Robert Reitan i spissen, seg til møtebordet ved fabrikklokalene i Støren i Midtre Gauldal kommune. Hovedsaken på planen er flytting av fabrikken. Les også: Ny fabrikk og færre ansatte At Rema 1000 vil satse på Norsk Kylling, og bygge ny fabrikk, ble vedtatt i juni . Da ble det også klart at fremtiden ikke ligger i dagens fabrikklokaler i Støren sentrum. Hvor det skal bygges nytt, er spørsmålet som kan bli besvart onsdag. - Vi jobber tett opp til møtet med å utrede de ulike alternativene for å gi styret best mulig beslutningsgrunnlag, sier administrerende direktør i Norsk Kylling, Kjell Åge Stokbakken. - Styret har vært klar på at de vil diskutere og ikke ha en ferdigtygd innstilling på bordet og det syns jeg er bra. Det er jo viktige det som skal besluttes. Og mener styret at det trenger mer tid, vil det ikke komme en avgjørelse i dette møtet, sier han. Les også: Ansatte ved Norsk Kylling gleder seg over ny fabrikk Både tidslinje ut fra kapasiteten til dagens fabrikk, volumvekst for produksjonen, prisutvikling på hvitt kjøtt og mer er del av vurderingsgrunnlaget. Fire-fem ulike alternativer i fire ulike kommuner er aktuelle, ifølge Stokbakken. Eneste kommune han vil nevne er Midtre Gauldal som ifølge fabrikksjefen er ivrige og jobber godt for å prøve å beholde den store arbeidsplassen innenfor kommunegrensene også etter en flytting fra Støren. Norsk Kylling er hjørnesteinsbedrift i Midtre Gauldal og dagens arbeidsstokk på 350 ved fabrikken, utgjør en tidel av kommunens sysselsatte. - Vi har også hatt møter med de tre andre aktuelle kommunene og har god dialog også med dem. Hvilke det er vil vi foreløpig holde for oss selv for å ikke skape misforståelser, sier Stokbakken. Likevel, det kjent at Sveberg i Malvik, har vært nevnt om alternativ, blant annet fordi den 97 mål store tomta like ved Norturas anlegg opprinnelig var kjøpt med tanke på Rema 1000. Den tomta ble solgt til investorer i februar i år. Ifølge Trønderbladet har Norsk Kylling også hatt samtaler med Melhus kommune om mulig tomt der og at også Orkdal er aktuelt. - Det som er sikkert er at vi kommer til å bli værende i Midt-Norge. Det er her vi har våre produsenter og vi kommer ikke til å flytte fabrikken langt av gårde, sier Stokbakken. Les også:  Norsk Kylling tjener penger igjen Dersom styret i Norsk Kylling ikke bestemmer seg onsdag, regner Stokbakken med et ekstraordinært styremøte i løpet av høsten. Da vil det trolig også komme en avklaring på når avviklingen av dagens fabrikk vil finne sted. - Det kommer an på hvor lenge vi vil ha tilstrekkelig kapasiteten ved fabrikken i Støren sentrum. Vi har ikke helt landet i spørsmålet om volumvekst heller. Hva Rema 1000 mener vi skal selge er med på å avgjøre levetiden på dagens fabrikk, sier Stokbakken. Etter styremøtet onsdag skal ansatte orienteres på torsdag før en eventuell avgjørelse blir kunngjort til omverden. - Hvordan involveres ansatte i denne prosessen? - Vi har samtaler med tillitsvalgte, men på dette stadiet er det mye som ikke er avklart, sier Stokbakken som også tidligere har vært klar på at det vil være behov for færre ansatte når den nye fabrikken står ferdig. - Hvor mange færre, er ennå noe av det som er usikkert, sier han.
N17	nyheter	nordtrondelag	Ras stenger vei i Forradal	Saken oppdateres. - Raset, som har skjedd i en sving like ved en bakke,  har tatt med seg en god del trær.  Trolig er det rundt 100 kubikkmeter med masse som har rast ut. Jordmassene er fortsatt ustabile på grunn av mye vann i bakker etter regnet det siste døgnet. Vi velger derfor å holde veien stengt inntil videre, forteller Thomas Fossen, driftsleder veg i Stjørdal kommune. - Er det aktuelt å la en geolog vurdere grunnforholdene ved rasstedet? - Vi har avtalt en vurdering av forholdene i rasområdet med en vegingeniør fra Statens vegvesen i ettermiddag. Så lenge det finnes gode omrkjøringsmuligheter og det er ingen bebyggelse som er truet, velger vi å vente med å bestemme med hva vi skal gjøre videre, sier Fosen. LES OGSÅ: Forradal isolerte av flere skred i mars 2012 LES OGSÅ: Varsler snøbyger og sterk vind fra i ettermiddag Det er skiltet omkjøring via E14 og Flora. - Raset er gått langt opp i dalen så det er derfor mulig for de som bor lenger nede i dalen å ta seg fram uten vansker, poengterer Fossen. LES OGSÅ: Ras og flom stenger veier i Trøndelag LES OGSÅ: Uværshelg i Trøndelag med storm to dager på rad Forradalen ligger i et område som ofte får store nedbørmengder, noe som jevlig fører til ras. I mars 2012 ble de 300 innbyggerne i dalen helt isolert etter flere ras på ulike veier til bygda. Rasene førte til utbedringer, ombygging og rassikring i området for 15 millioner kroner. Det er også gått et par andre ras i kommunen, i  Beistadgrenda i Stjørdal og Furbakken i Lånke, men begge disse veiene er midlertidig åpnet lørdag formiddag. Følg VærTorsten på Twitter Få de siste værnyhetene: Gjør som 18 600  andre - følg VærAdressa på Facebook Hør Adresseavisens kommentatorer på podkast:
N33	nyheter	sortrondelag	Krogstad blir ordfører i Melhus - Jagtøyen får ikke fornyet tillit	Saken oppdateres. Arbeiderpartiets Gunnar Krogstad blir den neste ordføreren i Melhus, mens Høyre og Kristelig folkeparti blir støttepartier. Der er Høyres Stine Estenstad som blir varaordfører i kommunen, til tross for at de fikk over ti prosent færre stemmer under kommunevalget, sammenlignet med 2011-resultatene. Det opplyser de to, samt Kristelig folkepartis førstekandidat, Jan Arne Bremnes, i en pressemelding. De tre partiene, som totalt har 21 representanter inne i kommunestyret, vil dermed ha et styringsdyktig flertall. Totalt består kommunestyret i Melhus av 37 folkevalgte. KOMMENTAR: Her er de største valg-overraskelsene Av de 21 representantene som utgjør flertallet, sitter Ap med 14 av dem. Høyre mistet hele fire representanter i valget, og er inne med fem personer i kommunestyret. Krf er inne i kommunestyret med to representanter. At de tre partiene nå er enige om samarbeid innebærer, naturlig nok, at Senterpartiets Jorid Jagtøyen, som har styrt kommunen de siste fire årene, ikke får fornyet tillit. LES OGSÅ: Her er de største valg-overraskelsene De tre samarbeidspartnerne mener at det er nødvendig med et styringsdyktig flertall i kommunen, ettersom de mener at Melhus er en kommune i rivende utvikling. - Samtlige har vist stor vilje til konstruktivt samarbeid. Alle vil bli representert i formannskap samt inneha posisjoner i komiteene, heter det i pressemeldingen fra de tre partiene. De opplyser at de vil fortsette forhandlingene i dagene som kommer. LES OGSÅ: Se hvem som er inne på fylkestinget
N43	nyheter	trondheim	Her er superbuss-traseene	Saken oppdateres. I samarbeid med Sør-Trøndelag fylkeskommune har AtB nå utarbeidet et forslag til hvilke traseer i Trondheim hvor det skal benyttes superbusser fra 2019. SE MER: Dette kan bli Trondheims nye superbuss Anbefalte traseer for superbuss er: Superbusslinje 1 (S1) Kattem/Heimdal – Tiller – sentrum –Strindheim – Ranheim stasjon Superbusslinje 2 (S2) Kattem/Heimdal – Saupstadringen – sentrum – Lade – Strindheim Superbusslinje 3 (S3) Rydningen/Byåsen – sentrum – Dragvoll/Lohove Les også: Hver passasjer får 0,2 kvadratmeter ståplass i superbussene (pluss) Forslaget beskriver ulike valg og en anbefaling av traseer samt start –, ende,-knute- og omstigningspunkt ved oppstart av superbuss i Trondheim. Fylkestinget og Bystyret skal behandle saken 27.-28. april i år, skriver AtB i en pressemelding. Det presiseres også at superbusstraseene må vurderes tilpasset underveis i perioden i tråd med bytuviklingen. Særlig gjelder dette Nyhavna som skal gjennom en betydelig endring fra industri til bolig/tjenesteyting. Bussen på bildene i denne saken er ett av alternativene som vurderes. Det endelige valget er ikke tatt. - Det er ennå ikke er valgt hvilken type buss som skal betjene superbuss-konseptet. Vi hadde bussen (på bildet) på prøve for å teste fremkommelighet for en 24 m buss i Trondheim og fordi dette var den lengste bussen som går i Norge, presiserer markedssjef i AtB Grethe Opsal. Følg Adresseavisen på Facebook , Instagram og Twitter . Hør Adresseavisens kommentatorer på Podkast
N62	pluss	nyheter	Reagerer sterkt på usikkerhet om campus	Saken oppdateres. Bjørnstad reagerer kraftig på kommunaldirektør Einar Aasved Hansens uttalelser om at superbussprosjektet tar så store kommunale ressurser at det bety nedprioritering av andre oppgaver i tre til seks år. LES OGSÅ: Superbussprosjektet forsinker byutviklingsplaner i seks år fremover Som tidligere medlem i utdanningskomiteen på Stortinget har Bjørnstad fulgt campussaken nøye. - Fylkeskommunen og Trondheim kommune har garantert for hurtig saksbehandling og velvilje for campus. Dette la regjeringen til grunn da den besluttet at det var riktig å samle campus i Trondheim. Hvis noe kommer i veien for det, er det ekstremt uheldig, sier Bjørnstad. LES OGSÅ: Vil bygge bybane gjennom NTNU Han mener det nå er viktig at ordfører og fylkesordfører beroliger NTNU og Kunnskapsdepartementet. - Vi kan ikke stoppe utviklingen av campus som skal gjøre Norges største universitet enda bedre. Trondheim kommune og fylkeskommunen har hatt sine feider med regjeringen før. Det er ikke lenge siden man ikke ville undertegne bymiljøavtalen. Hvis man begynner på den samme måten med campus, tror jeg ikke regjeringens velvilje vil vare. Jeg vet det finnes mange universiteter og høgskoler som ønsker disse pengene til sine prosjekter. Hvis kommunen ikke prioriterer campus aller øverst, tror jeg disse pengene fort kan havne andre steder, sier Sivert Bjørnstad. LES OGSÅ: NTNU ønsker gode ideer for modell for campus
N64	forbruker	jaktogfiske	Får 1,75 mill. for laksevald	Saken oppdateres. Nå har han inngått kontrakt med den tyske laksebaronen Manfred Raguse om utleie av laksevald for 350 000 kroner pr. år i fem år. Gaula er på de to-tre siste årene blitt lakseelv nummer én i Norge - foran mer berømte elver som Tana og Namsen. Etterspørselen etter laksefiske i den stadig mer ettertraktede elva i Gauldalen, har eksplodert, og det er dette den unge bonden på Kotsøy nå kan nyte godt av. Selv vil ikke Axel T. Sanderud fortelle nøyaktig hva kontrakten med Raguse går ut på. - Det er en privatsak. Men jeg kan bekrefte at det er nesten en dobling av hva jeg hadde med dem som leide her før, er det eneste han vil si. Tidligere leide han ut til svenske fiskere og fikk 150 000 kroner pr. år. Prisøkning Men i år har den kjente - og omstridte - Manfred Raguse overbydd svenskene. Adresseavisen er kjent med at Sanderud innkasserer 1,75 millioner over en femårsperiode for å leie ut valdet Bogen Søndre - en strekning på 2 1⁄2 km på den ene siden av Gaula og én km på den andre siden. Valdet er regnet for å være meget godt, men likevel ikke eksepsjonelt. Det fiskes årlig 100-200 laks her. Og i fjor ble det satt rekord da en unggutt fikk en rugg på 17,1 kilo. Raguse har for øvrig operert i Gaula og andre trønderske elver i en årrekke. For tre år siden kjøpte han Støren Hotell hvor han innkvarterer laksefiskere i sesongen. På Norwegian Flyfishers Club sine hjemmesider som er Raguses prosjekt, reklamerer han med at han disponerer syv sentrale vald på strekningen Støren, Rognes og Singsås. Mange mener tyskeren er blitt for dominerende i øvre del av Gaula. - Raguse har vært på meg i minst ti år om å få leie Bogen Søndre. Han var svært fornøyd da han fikk tilslaget, kommenterer Sanderud. Han oppfatter Raguse som en seriøs aktør i Gaula. Aldri drømt om dette Da Sanderud overtok gårdsbruket i 1988 som tenåring, var ikke inntektene fra laksefisket med i bildet i det hele tatt. - Jeg solgte kort og leide ut laksevald for kanskje 10 000-15 000 kroner. Det betydde ingenting for gårdsdriften, forteller han. Nå har det forandret seg. Utleie av elva til laksefiske, betyr plutselig at gårdsdriften har fått flere ben å stå på. Elva betyr vel så mye som inntektene fra ammekyrne og fra skogsdriften. - Jeg hadde aldri drømt om ei slik utvikling. Men det er vel slik landbruksmyndighetene vil ha det. Tømmerprisene har vært dårlige og vilkårene for tradisjonelt landbruk er jo heller ikke de beste. Hadde jeg ikke hatt laksevaldet, ser jeg ikke bort fra at jeg hadde sett meg om etter deltidsjobb utenfor gården, sier Sanderud. Gården er på 170 dekar og har 4000 dekar utmark. Det som gjør Bogen Søndre til et lakseparadis for utlendinger, er kombinasjonen av et godt laksevald og en ideell innkvartering tett ved elvebredden der fiskerne kan sitte ved kjøkkenbordet og iaktta det som skjer i elva. For i kontrakten med Raguse stiller Sanderud den gamle, men nyrestaurerte «engelskmannsstua» på gården til disposisjon. Den ble opprinnelig bygd for laksefiskere for hundre år siden. Nå tas den i bruk igjen til det samme formålet. Og den kan bære navnet med rette for de første som flytter inn når laksesesongen starter natt til tirsdag i neste uke, er engelskmenn - og et par fiskere fra Island. Tilrettelagt I det gamle huset er det godt tilrettelagt med dusj og bad. Men det dreier seg ikke om luksus. - Fiskerne vil har det rent og trivelig, men det gjør ingenting om det er enkelt. De er ikke kravstore slik. Det som betyr noe er at det ligger nært elva. Her slipper de å kjøre bil. De kan følge med i alt som skjer i elva fra huset de er innkvartert i. Mat og vask ordner de selv, forteller Sanderud. For de internasjonale laksefiskerne teller det også at Gaula ikke er et regulert vassdrag og at elva renner gjennom såkalt «uberørt natur». Ikke typisk rikinger Han er spent på hvordan det vil fungere når de første laksefiskerne fra Raguse kommer. - Det er klart det er spennende. Jeg tror ikke det er typisk rikinger som kommer til oss. Jeg har inntrykk av at det er vanlige arbeidstagere som er lidenskapelige laksefiskere som satser alt på denne type ferie. I hvert fall står de i elva døgnet rundt når de først er her. De sparer på andre ting og bruker 15 000 kroner på ei uke i Gaula fremfor en tur til Syden, mener Sanderud. Selv har lakseprinsen på Kotsøy aldri tatt en laks. - Men jeg liker ørretfiske på fjellet. Der tar jeg slike, sier han smilende og viser med hendene hva han mener - fisk som passer i stekepanna.
N93	nyheter	okonomi	- Helt greit hvis bensinprisen blir 19-20 kroner	Saken oppdateres. - Det er helt på sin plass med økning, og det gjør ikke noe hvis det blir enda dyrere heller. Vi trenger initiativer for å komme oss frem med andre alternativer, sier Bakken, som snart bytter ut dieselbilen sin med en elbil. LES OGSÅ: Sender ny milliardregning til bileierne Etter at de nye avgiftsreglene trådte i kraft ved nyttår, har bensinprisen nådd sitt høyeste nivå noensinne. - Det er over 20 år siden sist vi hadde så høy avgiftsøkning på diesel, og det er den nest høyeste økningen på bensin på over 20 år. De nye veiledende prisene er det høyeste noensinne både for bensin og diesel, sier kommunikasjonssjef Knut Hilmar Hansen i CircleK. Mandag var den veiledende prisen ved på bensin 16,29 kroner per liter, mens den for diesel var 15,25 kroner per liter. Men Bakken lar seg ikke skremme av prisene mens han fyller opp bensinkanna så snøfreseren får kjørt seg litt mandag kveld. - For meg handler det om miljøvennlighet, og ikke pris. Så hvor mye jeg sparer med elbil har jeg ikke tenkt på, sier han. 2017: Dyrere diesel, FM-nettet slukkes, jernbanereform og kommunesammenslåing Vi møtte ham ved Esso-stasjonen på Bromstad mandag kveld. Da hadde prisene sunket til 11,59 kroner for diesel, mens bensinliteren lå på 13,55 kroner. Men på CircleK ved Tunga lå prisen der den stort sett hadde ligget hele dagen, med henholdsvis 16,37 kroner for bensin og 15,33 for diesel. - Unødvendig og irriterende, men jeg må jo ha bensin, sier Steffen Engen der han fyller på sin Golf 1,6 liter, mens kompisen er inne for å hente to pølser på veien til Skaun. Les denne kommentaren: Bensin er altfor billig Og denne: Biodrivstoff en klimabløff - Hvorfor er avgiftsøkningen unødvendig? - Jeg er 19 år, bor på landet (Viggja) og har en jobb som ikke er fast. Det er dyrt for meg det her, men jeg klarer meg ikke uten bil, sier han. Han fnyser av spørsmålet om elbil kan være et alternativ. - Jeg må jo ha litt kraft. - Kollektivt da? - Jeg bruker like lang tid til byen, og det er like dyrt. Eller det var i alle fall like dyrt. Men nei, jeg må ha bilen, slår han fast. Det må også Lars Erik Jakobsen fra Malvik. Han har en dieselsluker av en firehjultrekker, og en elbil som brukes til småkjøring. - Jeg tenker at det er helt greit med økning hvis det gir utslag på andre avgifter. Nå synker årsavgiften på den her, men det jevner seg ikke ut, sier han. Han kjøpte dieselbil da det var det lureste man kunne gjøre ifølge regjeringen. - Det er dyrt ja, men jeg er sikker på at vi må ganske høyere enn dagens nivå for at folk skal ty til andre transportmidler. En magisk grense er kanskje rundt 19-20 kroner, sier han. Den mye omtalte bilpakken, som regjerningen til slutt ble enige om i Statsbudsjettet, innebærer at veibruksavgiften stiger med 20 øre til 5,19 kroner per liter bensin i 2017, mens den økes med 36 øre til 3,80 kroner per liter for diesel. I tillegg kommer økning på henholdsvis sju og åtte øre i CO2-avgiften for bensin og diesel, samt moms på toppen. Dermed økte bensinavgiften fra 1.januar med totalt 34 øre, og med 55 øre for dieselavgiften. Kommunikasjonssjef Hansen forteller at det i tillegg til avgiftene er flere faktorer som påvirker drivstoffprisen. - Som følge av blant annet høyere råoljepris, svingninger i valutakurs og endringer på tilbuds- og etterspørselssiden økte innkjøpsprisen i desember, sier Hansen. Men selv om listeprisen er høy, er det ikke dermed sagt at pumpeprisen stiger tilsvarende. Hansen vil ikke garantere, men basert på tidligere erfaringer blir det lavere pris utover uken. - I dag ble prisene lokalt satt til veiledende pris på grunn av avgiftsøkningen. Jeg regner med at prisene faller utover uken lokalt på pumpene, sier han. - Hvordan reagerer kundene? - Jeg kjenner ikke til noen spesielle tilbakemeldinger i dag. Mange skjønner nok at 90 prosent av drivstoffprisene er utenfor drivstoffselskapenes rekkevidde. Nordmenn flest har et transportbehov, det er derfor de kjører bil, og ikke fordi de ønsker en fritidssyssel, sier han. Om det er derfor butikkansatt Marianne Evensen ved Shell 7-Eleven Rosendal ikke hadde fått noen negative reaksjoner på avgiften er usikkert. Men om ikke drivstoffavgiften er diskutert, så er det en annen økning kundene reagerer på. - Tobakken. Der har jeg fått mange «oj, så dyrt det er blitt da», sier hun
N102	kultur	kultur	Stargate har kjøpt nytt studio til 43 millioner	Saken oppdateres. Det kan bli aktuelt for Stargate å opptre og gi ut musikk under eget navn. Det røper låtskriver- og produsentduoen i en stor reportasje i Dagens Næringsliv sist fredag. Da de varmet opp for Coldplay med et dj-sett i Los Angeles i august, ga det Mikkel Storleer Eriksen og Tor Erik Hermansen lyst på mer. - Det var utrolig gøy å spille for mer enn 80 000 tilskuere, så vi ser ikke bort ifra at vi kommer til å gjøre det igjen, sier Eriksen og Hermansen til DN. De avviser at de har sittet med en artistdrøm i 15 år, og mener de ikke vil strekke seg lenger enn til å være dj-er. Samtidig innrømmer de at om de lager noe fett, kan det være aktuelt å gi det ut under Stargate-navnet. LES OGSÅ: Coldplay + Stargate = sant - Vi forsto under Coldplay-gigen at det hadde vært kult å ha flere låter som ikke var skrevet for andre. Vi har begynt å se på det, men har ingen konkrete planer, sier de i reportasjen, og nevner David Guetta og Calvin Harris som eksempler på beslektede låtkrivere og produsenter som gir ut låter i eget navn i stedet for å gi dem til andre artister. LES OGSÅ: Stargate topper verden Til DN forteller Eriksen og Hermansen om veien fra Tiller (der Stargate Studios startet i 1996), via England til USA - først ni år i New York, før de flyttet videre til Los Angeles for to år siden, blant annet for å jobbe mer med filmmusikk. Her har de nylig kjøpt et hus til 5,25 millioner dollar, eller drøyt 43 millioner kroner. Det er i ferd med å bli bygget om til studio, deres første egne siden tiden i Trondheim. De forteller også historien om hvordan de holdt på å gi opp da det britiske markedet ble mettet på Stargate-soundet, men hvordan de gjennom Ne-Yos gjennombruddshit «So Sick» fra 2006 fikk et fotfeste i det amerikanske markedet. Om opp- og nedturer, om hvordan de gikk fra å være på konkursens rand i 2004, til i dag å ha tjent så mye at de ifølge seg selv kunne ha pensjonert seg. Om møtene med Madonna, Whitney Houston og Jay-Z. - Stargate har har hatt stor innflytelse. En sjelden gang i musikkhistorien skjer det noe magisk når de rette musikerne møter den rette tekstforfatteren og alt bare stemmer. Det skjedde med Stargate og Ne-Yo, sa samarbeidspartner Jay-Z til Adresseavisen da vi intervjuet ham i 2009. JAY-Z: - Mikkel er et geni Mellom 1998 og 2002 hadde Stargate 30 topp 10-singler på de britiske listene. Etter flyttingen til USA har de stått bak 24 topp 10-hits i USA. Til sammen 21 av sangene har gått helt til topps. Flest hits har de hatt med Rihanna, men har også skrevet hits for stjerner som Coldplay, Katy Perry, Beyoncé, Rita Ora, Chris Brown, S Club 7, Blue, Wiz Khalifa og Ylvis. LES OGSÅ: Her vet Stargate og Katy Perry at de har laget en megahit Og Eriksen og Hermansen trives USA, og har ingen umiddelbare planer om å flytte. Eriksen sier til DN at han, kona Hege og barna Elise (13) og Selma (8) endelig hadde etablert seg i New York, men at flyttingen til Los Angeles har gått over all forventning. LES OGSÅ: Stargate flytter til Los Angeles - Ungene trives med en mer utendørs livsstil, de får springe rundt i hagen og ri hest. Det føles mer norsk, bare at det er den beste sommmerdagen du kan tenke deg - hver dag, sier Eriksen til Dagens Næringsliv.
N128	nyheter	trondheim	Flere elever fra voldsvideo-episode har blitt midlertidig bortvist fra skole	Saken oppdateres. Den brutale voldsvideoen fra en garderobe på en videregående skole i Trondheim 14. april i år har ført til mange spørsmål. En elev i slutten av tenårene ble banket til blods i skoletid. En 18 år gammel medelev er siktet for ugjerningen. Rektoren ved den aktuelle skolen forteller at de vil ha et informasjonsmøte om hendelsen mandag kveld klokka 18.00. - Jeg vil orientere om hva som har skjedd og hva som gjøres i etterkant for å skape et tryggere og mer inkluderende skolemiljø, sier rektoren. Utdanningsdirektør i Sør-Trøndelag fylkeskommune, Inger Christensen, og politiet ved Tor Erik Rønne på Forebyggende-gruppa vil også være til stede for å svare på spørsmål. - Jeg er usikker på oppmøtet, men vi har sendt ut invitasjonen til alle foreldre ved skolen, sier rektoren. SE VIDEO: Gutt ble slått fire ganger i ansiktet mens andre elever sto og filmet Skoleledelsen er nødt til å behandle de andre elevene som var til stede i garderoben individuelt. Dette i henhold til Opplæringsloven og ordensreglementet. - Det er allerede elever som var involvert i garderobeepisoden som er midlertidig bortvist. Jeg kan kun bortvise opptil fem dager, forklarer rektoren. Skoleledelsen har valgt å se på elevenes rolle i garderoben og det som ellers har skjedd i skoleåret. - Vi må vurdere om de skaper utrygghet for de andre elevene på skolen, forklarer rektoren. Eleven som ble angrepet i garderoben på den videregående skolen sier at han ikke lenger føler seg trygg på skolen (for abonnenter). Utdanningsdirektøren må inn i saken dersom det skal gis strengere straff, og det ble gjort i forbindelse med straffereaksjon på hovedgjerningsmannen. - I bortvisningsperioden foretar vi ei vurdering av om disse er en trussel eller til sjenanse for andre elever. Der dette er tilfelle må skolen finne andre opplæringsarenaer for dem. Det er dette foreldrene er bekymret for, om de kan dukke opp på skolen igjen, mener rektoren, som innrømmer at hele saken er spesiell. - Det er ikke bare med tanke på vår skole, men det som skjer av oppfølging kan skape presedens for andre skoler senere, mener rektoren. 18-åringen som banket en elev ved en videregående skole i Trondheim sier at det ikke er noe mønster i slåsskampene. (for abonnenter) Etter hendelsen valgte skolen å ha miljøpersonale til stede i verksted og fellesarealer, flere voksne i kantina og andre felles oppholdsrom samt tett samarbeid med Uteseksjon og politiets Forebyggende-gruppe. - Vi opplever samarbeidet med politiet som utmerket. Vi driver også og oppjusterer kameraene våre,med tanke på nøyaktighet og rekkevidde, sier rektoren. På lengre sikt vil skolen gå gjennom organiseringen sin og de interne systemene rundt elever som trenger ekstra oppfølging. Det vil bli utvidet samarbeid med aktuelle etater, og det er også et samarbeid med både videregående skoler og ungdomsskoler. LES OGSÅ: - Elevene har vært i politiets søkelys tidligere For elevene som føler seg utrygge står Elevtjenesten til rådighet og vil ta samtaler for dem som trenger det. Skoleledelsen holder tett kontakt med elevrådet som gir signaler om hvordan elevene hele tiden oppfatter skolemiljøet. Politiinspektør Alf Rune Nilsen forteller at det gjenstår to avhør i saken som omhandler den 18 år gamle eleven. Han er siktet for til sammen åtte forhold. - Denne saken har også ført til at vi har kommet over en del andre lignende forhold, og vi undersøker selvsagt disse også. Det jobbes effektivt med å undersøke alle sakene, sier han. Følg Adresseavisen på Facebook , Instagram og Twitter .
N149	nyheter	sortrondelag	Får bygge på hytte nær vernet vassdrag	Saken oppdateres. Rådmannen var ikke begeistret, men har likevel gitt tillatelse til at en hytteeier får bygge på hytta si som ligger nær det vernede Gaulavassdraget, skriver Trønderbladet . Hytteeieren har søkt om å få bygge på 32,5 kvadratmeter. Rådmannen og nærings- plan og miljøutvalget i Midtre Gauldal sier ja fordi hytta allerede er bygget, og de mener at påbygget ikke vil påføre området større konsekvenser. Det har ikke kommet innsigelser fra naboer elller myndigheter etter høringen. Følg Adresseavisen på Facebook , Instagram og Twitter
